;after_learning_of_task;tested_task;accuracy
0;7;0;47.85000228881836
1;7;1;55.900001525878906
2;7;2;45.82999801635742
3;7;3;40.41999816894531
4;7;4;59.880001068115234
5;7;5;65.2300033569336
6;7;6;63.650001525878906
7;7;7;88.41000366210938
8;8;0;39.63999938964844
9;8;1;49.27000045776367
10;8;2;41.0
11;8;3;43.92000198364258
12;8;4;50.18000030517578
13;8;5;63.5
14;8;6;62.44999694824219
15;8;7;81.76000213623047
16;8;8;88.81000518798828
17;9;0;45.459999084472656
18;9;1;42.65999984741211
19;9;2;37.65999984741211
20;9;3;30.03999900817871
21;9;4;45.18000030517578
22;9;5;50.93000030517578
23;9;6;48.439998626708984
24;9;7;58.679996490478516
25;9;8;67.79000091552734
26;9;9;78.12000274658203
