;after_learning_of_task;tested_task;accuracy
0;2;0;61.94000244140625
1;2;1;79.77999877929688
2;2;2;83.05000305175781
3;3;0;70.05000305175781
4;3;1;81.3499984741211
5;3;2;83.38999938964844
6;3;3;89.17000579833984
7;4;0;71.13999938964844
8;4;1;74.19000244140625
9;4;2;78.33000183105469
10;4;3;69.95000457763672
11;4;4;87.55000305175781
12;5;0;67.37999725341797
13;5;1;67.13999938964844
14;5;2;73.33999633789062
15;5;3;71.8499984741211
16;5;4;81.70999908447266
17;5;5;88.27999877929688
18;6;0;58.56999588012695
19;6;1;58.18000030517578
20;6;2;64.67000579833984
21;6;3;63.160003662109375
22;6;4;61.83000183105469
23;6;5;79.72000122070312
24;6;6;88.3499984741211
25;7;0;47.85000228881836
26;7;1;55.900001525878906
27;7;2;45.82999801635742
28;7;3;40.41999816894531
29;7;4;59.880001068115234
30;7;5;65.2300033569336
31;7;6;63.650001525878906
32;7;7;88.41000366210938
33;8;0;39.63999938964844
34;8;1;49.27000045776367
35;8;2;41.0
36;8;3;43.92000198364258
37;8;4;50.18000030517578
38;8;5;63.5
39;8;6;62.44999694824219
40;8;7;81.76000213623047
41;8;8;88.81000518798828
42;9;0;45.459999084472656
43;9;1;42.65999984741211
44;9;2;37.65999984741211
45;9;3;30.03999900817871
46;9;4;45.18000030517578
47;9;5;50.93000030517578
48;9;6;48.439998626708984
49;9;7;58.679996490478516
50;9;8;67.79000091552734
51;9;9;78.12000274658203
