;after_learning_of_task;tested_task;accuracy
0;4;0;71.13999938964844
1;4;1;74.19000244140625
2;4;2;78.33000183105469
3;4;3;69.95000457763672
4;4;4;87.55000305175781
5;5;0;67.37999725341797
6;5;1;67.13999938964844
7;5;2;73.33999633789062
8;5;3;71.8499984741211
9;5;4;81.70999908447266
10;5;5;88.27999877929688
11;6;0;58.56999588012695
12;6;1;58.18000030517578
13;6;2;64.67000579833984
14;6;3;63.160003662109375
15;6;4;61.83000183105469
16;6;5;79.72000122070312
17;6;6;88.3499984741211
18;7;0;47.85000228881836
19;7;1;55.900001525878906
20;7;2;45.82999801635742
21;7;3;40.41999816894531
22;7;4;59.880001068115234
23;7;5;65.2300033569336
24;7;6;63.650001525878906
25;7;7;88.41000366210938
26;8;0;39.63999938964844
27;8;1;49.27000045776367
28;8;2;41.0
29;8;3;43.92000198364258
30;8;4;50.18000030517578
31;8;5;63.5
32;8;6;62.44999694824219
33;8;7;81.76000213623047
34;8;8;88.81000518798828
35;9;0;45.459999084472656
36;9;1;42.65999984741211
37;9;2;37.65999984741211
38;9;3;30.03999900817871
39;9;4;45.18000030517578
40;9;5;50.93000030517578
41;9;6;48.439998626708984
42;9;7;58.679996490478516
43;9;8;67.79000091552734
44;9;9;78.12000274658203
