;after_learning_of_task;tested_task;accuracy
0;1;0;68.7300033569336
1;1;1;87.4800033569336
2;2;0;61.94000244140625
3;2;1;79.77999877929688
4;2;2;83.05000305175781
5;3;0;70.05000305175781
6;3;1;81.3499984741211
7;3;2;83.38999938964844
8;3;3;89.17000579833984
9;4;0;71.13999938964844
10;4;1;74.19000244140625
11;4;2;78.33000183105469
12;4;3;69.95000457763672
13;4;4;87.55000305175781
14;5;0;67.37999725341797
15;5;1;67.13999938964844
16;5;2;73.33999633789062
17;5;3;71.8499984741211
18;5;4;81.70999908447266
19;5;5;88.27999877929688
20;6;0;58.56999588012695
21;6;1;58.18000030517578
22;6;2;64.67000579833984
23;6;3;63.160003662109375
24;6;4;61.83000183105469
25;6;5;79.72000122070312
26;6;6;88.3499984741211
27;7;0;47.85000228881836
28;7;1;55.900001525878906
29;7;2;45.82999801635742
30;7;3;40.41999816894531
31;7;4;59.880001068115234
32;7;5;65.2300033569336
33;7;6;63.650001525878906
34;7;7;88.41000366210938
35;8;0;39.63999938964844
36;8;1;49.27000045776367
37;8;2;41.0
38;8;3;43.92000198364258
39;8;4;50.18000030517578
40;8;5;63.5
41;8;6;62.44999694824219
42;8;7;81.76000213623047
43;8;8;88.81000518798828
44;9;0;45.459999084472656
45;9;1;42.65999984741211
46;9;2;37.65999984741211
47;9;3;30.03999900817871
48;9;4;45.18000030517578
49;9;5;50.93000030517578
50;9;6;48.439998626708984
51;9;7;58.679996490478516
52;9;8;67.79000091552734
53;9;9;78.12000274658203
