;after_learning_of_task;tested_task;accuracy
0;3;0;70.05000305175781
1;3;1;81.3499984741211
2;3;2;83.38999938964844
3;3;3;89.17000579833984
4;4;0;71.13999938964844
5;4;1;74.19000244140625
6;4;2;78.33000183105469
7;4;3;69.95000457763672
8;4;4;87.55000305175781
9;5;0;67.37999725341797
10;5;1;67.13999938964844
11;5;2;73.33999633789062
12;5;3;71.8499984741211
13;5;4;81.70999908447266
14;5;5;88.27999877929688
15;6;0;58.56999588012695
16;6;1;58.18000030517578
17;6;2;64.67000579833984
18;6;3;63.160003662109375
19;6;4;61.83000183105469
20;6;5;79.72000122070312
21;6;6;88.3499984741211
22;7;0;47.85000228881836
23;7;1;55.900001525878906
24;7;2;45.82999801635742
25;7;3;40.41999816894531
26;7;4;59.880001068115234
27;7;5;65.2300033569336
28;7;6;63.650001525878906
29;7;7;88.41000366210938
30;8;0;39.63999938964844
31;8;1;49.27000045776367
32;8;2;41.0
33;8;3;43.92000198364258
34;8;4;50.18000030517578
35;8;5;63.5
36;8;6;62.44999694824219
37;8;7;81.76000213623047
38;8;8;88.81000518798828
39;9;0;45.459999084472656
40;9;1;42.65999984741211
41;9;2;37.65999984741211
42;9;3;30.03999900817871
43;9;4;45.18000030517578
44;9;5;50.93000030517578
45;9;6;48.439998626708984
46;9;7;58.679996490478516
47;9;8;67.79000091552734
48;9;9;78.12000274658203
